№,Страна,Регион,Город,Трасса,Месторасположение,Бренд,Бензин,ДТ,ГАЗ,Мойка,Доп. услуги,Категория
1,РОССИЯ,Алтайский край,,Р-255,222 км Автодороги Бийск-Артыбаш,Салекс,+,+,,,,
2,РОССИЯ,Алтайский край,,А-322,"Алтайский край, село Шипуново по трассе Шипунова- Первомайское)",Лукойл,+,+,,,"AdBlue, Доп. товары",
3,РОССИЯ,Алтайский край,,Р-256,"Алтайский край, Р-256 Чуйский тракт, 179",Лукойл,+,+,,,"AdBlue, Доп. товары",
4,РОССИЯ,Алтайский край,,Р-256,"Алтайский край, Р-256 Чуйский тракт, километр 292-й, 4",Лукойл,+,+,,,Доп. товары,
5,РОССИЯ,Алтайский край,,Р-256,"Алтайский край, Буланихинский сельсовет, Р-256 317 километр, 1",Лукойл,+,+,,,Доп. товары,
6,РОССИЯ,Алтайский край,Акташ,,"Лесная ул., 1, Акташ, Респ. Алтай, Россия, 649743",ОПТИ,+,+,+,,,T
7,РОССИЯ,Алтайский край,Алейск,,трасса Барнаул-Рубцовск,ГАЗОЙЛ,,,+,,,B
8,РОССИЯ,Алтайский край,Алейск,,"Алтайский край, г. Алейск, пер. Ульяновский, д. 108р",Лукойл,+,+,,,"AdBlue, Доп. товары",
9,РОССИЯ,Алтайский край,Алтайский,,"[а/д] Славгород-Кулунда-Златополь, 27 км, Алтайский край, с.Алтайское , ул.Советская, д.256 А",Ника,+,+,,,,B
10,РОССИЯ,Алтайский край,Алтайское,,"Максима Горького ул., 2В, Алтайское (Алтайский), Алтайский край, Россия, 659650",Газпромнефть,+,+,+,,,T
11,РОССИЯ,Алтайский край,артыбаш,,"село Артыбаш, ул. Телецкая, 1",Салекс,+,+,,,,
12,РОССИЯ,Алтайский край,Баево,,"АЗС «Газнефтепродукт» Баевский район, с.Баево, ул.Забайкальская, д.56Б",ГАЗНЕФТЕПРОДУКТ,+,+,,,,B
13,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, г. Барнаул, пр. Социалистический, д. 5",ОПТИ,+,+,,,,A
14,РОССИЯ,Алтайский край,Барнаул,,"ул. Дзержинского, 43А",ГАЗОЙЛ,+,+,+,,,B
15,РОССИЯ,Алтайский край,Барнаул,,"Змеиногорский тракт, 91в, Барнаул, Алтайский край, Россия, 656049",ОПТИ,+,+,,,,T
16,РОССИЯ,Алтайский край,Барнаул,,"Змеиногорский тракт, 118А, Барнаул, Алтайский край, Россия, 656045",Газпромнефть,+,+,,,,T
17,РОССИЯ,Алтайский край,Барнаул,,"ул. Трактовая, 49, Барнаул, Алтайский край, Россия, 656905",Газпромнефть,+,+,,,,T
18,РОССИЯ,Алтайский край,Барнаул,,"ул. Гоголя, 51",Газпромнефть,+,+,,,,T
19,РОССИЯ,Алтайский край,Барнаул,,"ул. Шевченко, 177Б, Барнаул, Алтайский край, Россия, 656031",Газпромнефть,+,+,,,,T
20,РОССИЯ,Алтайский край,Барнаул,,"Сельскохозяйственная ул., 1А, Барнаул, Алтайский край, Россия, 656064",Газпромнефть,+,+,,,,T
21,РОССИЯ,Алтайский край,Барнаул,,"ул. Малахова, 107Д, Барнаул, Алтайский край, Россия, 656066",Газпромнефть,+,+,,,,T
22,РОССИЯ,Алтайский край,Барнаул,,"Павловский тракт, 331а, Барнаул, Алтайский край, Россия, 656065 (Автоматическая)",Газпромнефть,+,+,,,,T
23,РОССИЯ,Алтайский край,Барнаул,,"ул. Парфенова, 22",Газпромнефть,+,+,,,,T
24,РОССИЯ,Алтайский край,Барнаул,,"пр. Калинина, 37А, Барнаул, Алтайский край, Россия, 656011",Газпромнефть,+,+,,,,T
25,РОССИЯ,Алтайский край,Барнаул,,"ул. 1-я Западная, 57",Газпромнефть,+,+,,,,T
26,РОССИЯ,Алтайский край,Барнаул,,"Павловский тракт, 186, Барнаул, Алтайский край, Россия, 656065",Газпромнефть,+,+,,,,T
27,РОССИЯ,Алтайский край,Барнаул,,"ул. Попова, 5В, Барнаул, Алтайский край, Россия, 656063",Газпромнефть,+,+,,,,T
28,РОССИЯ,Алтайский край,Барнаул,,"ул. Загородная, 119, Барнаул, Алтайский край, Россия, 656008",Газпромнефть,+,+,+,,,T
29,РОССИЯ,Алтайский край,Барнаул,,"ул. Челюскинцев, 117Б",ГАЗОЙЛ,+,+,+,,,B
30,РОССИЯ,Алтайский край,Барнаул,,"Павловский тракт, 249А, Барнаул, Алтайский край, Россия, 656066",Газпромнефть,+,+,,,,T
31,РОССИЯ,Алтайский край,Барнаул,,"ул. Власихинская, 111, Барнаул, Алтайский край, Россия, 656058",Газпромнефть,+,+,,,,T
32,РОССИЯ,Алтайский край,Барнаул,,"ул. Кутузова, 142, Барнаул, Алтайский край, Россия, 656021",ОПТИ,+,+,,,,T
33,РОССИЯ,Алтайский край,Барнаул,,"пр. Космонавтов, 18А, Барнаул, Алтайский край, Россия, 656063",Газпромнефть,+,+,,,,T
34,РОССИЯ,Алтайский край,Барнаул,,"ул. Попова, 206А",Газпромнефть,+,+,,,,T
35,РОССИЯ,Алтайский край,Барнаул,,"Новый рынок, Барнаул, Алтайский край, Россия, 656002",Газпромнефть,+,+,,,,T
36,РОССИЯ,Алтайский край,Барнаул,,"г. Барнаул, Павловский тракт, д. 52",Vianor,,,,,Шиномонтаж,A
37,РОССИЯ,Алтайский край,Барнаул,,"г. Барнаул, ул. Ползунова, д. 44А",Vianor,,,,,Шиномонтаж,A
38,РОССИЯ,Алтайский край,Барнаул,,"г. Барнаул, ул. Солнечная Поляна, д. 22 А",DTL,,,,+,Шиномонтаж,A
39,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, г. Барнаул, ул. Попова, д. 214",Вианор,,,,,Шиномонтаж,A
40,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, г. Барнаул, ул. Попова, 21 б",МИЛЕНА,,,,+,,A
41,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, Барнаул, Змеиногорский тракт, 43А",Лукойл,+,+,,,Доп. товары,
42,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, Барнаул, проспект Космонавтов, 14К",Лукойл,+,+,,,"AdBlue, Доп. товары",
43,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, Барнаул, Власихинская ул., 61А",Лукойл,+,+,+,,"AdBlue, Доп. товары",
44,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, Барнаул, Павловский тракт, 32",Лукойл,+,+,,,Доп. товары,
45,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, Барнаул, ул. Попова, 175А",Лукойл,+,+,+,,"AdBlue, Доп. товары",
46,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, Барнаул, Павловский тракт, 319",Лукойл,+,+,,,"AdBlue, Доп. товары",
47,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, Барнаул, ул. Гоголя, 104",Лукойл,+,+,,,,
48,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, Барнаул, ул. Попова, 166А",Лукойл,+,+,,,"AdBlue, Доп. товары",
49,РОССИЯ,Алтайский край,Барнаул,,"Алтайский край, Барнаул, Змеиногорский тракт, 134А",Лукойл,+,+,+,,"AdBlue, Доп. товары",
50,РОССИЯ,Алтайский край,Баюновские Ключи,Р-256,"Алтайский край, Р-256 Чуйский тракт, километр 227-й",Лукойл,+,+,,,"AdBlue, Доп. товары",
51,РОССИЯ,Алтайский край,Белокуриха,,"Алтайский край, Белокуриха, ул. Бийская, 40/2",Лукойл,+,+,,,Доп. товары,
52,РОССИЯ,Алтайский край,Бийск,М52,"М52, Алтайский край, г. Бийск, ул. Андреевская 39 а АЗС №7, слева от Бийска",Ника,+,+,,,,B
53,РОССИЯ,Алтайский край,Бийск,,"ул. Михаила Кутузова, 1 корпус 1, Бийск, Алтайский край, Россия, 659302",ОПТИ,+,+,,,,T
54,РОССИЯ,Алтайский край,Бийск,,"ул. Революции, 125 корпус 1, Бийск, Алтайский край, Россия, 659335",Газпромнефть,+,+,+,,,T
55,РОССИЯ,Алтайский край,Бийск,,"Дубильная ул., 10, Бийск, Алтайский край, Россия, 659320",Газпромнефть,+,+,,,,T
56,РОССИЯ,Алтайский край,Бийск,,"ул. Мерлина, 63Б, Бийск, Алтайский край, Россия, 659319",ОПТИ,+,+,,,,T
57,РОССИЯ,Алтайский край,Бийск,,"Каховская ул., 13б, Бийск, Алтайский край, Россия, 659319",ОПТИ,+,+,,,,T
58,РОССИЯ,Алтайский край,Бийск,,"Барнаульский тракт, 2, Бийск, Алтайский край, Россия, 659342",ОПТИ,+,+,,,,T
59,РОССИЯ,Алтайский край,Бийск,,"ул. Советская, 204, Бийск, Алтайский край, Россия, 659321",ОПТИ,+,+,,,,T
60,РОССИЯ,Алтайский край,Бийск,,"Минская ул., 1а, Бийск, Алтайский край, Россия, 659318",ОПТИ,+,+,,,,T
61,РОССИЯ,Алтайский край,Бийск,,"ул. Угольная, 65",Октан,+,+,,,,A
62,РОССИЯ,Алтайский край,Бийск,,"ул. Советская, 195/1, Бийск, Алтайский край, Россия, 659321",ОПТИ,+,+,,,,T
63,РОССИЯ,Алтайский край,Бийск,,"Барнаульский тракт, 2, Бийск, Алтайский край, Россия, 659342",ОПТИ,+,+,,,,T
64,РОССИЯ,Алтайский край,Бийск,,"ул. Трофимова, 15, Бийск, Алтайский край, Россия, 659311",ОПТИ,+,+,,,,T
65,РОССИЯ,Алтайский край,Бийск,,"а.д. Чуйский тракт, 66",Газпромнефть,+,+,+,,,T
66,РОССИЯ,Алтайский край,Бийск,,"Иркутская ул., 1/31, Бийск, Алтайский край, Россия, 659333",ОПТИ,+,+,,,,T
67,РОССИЯ,Алтайский край,Бийск,,"Алтайский край, г. Бийск, ул. Севастопольская, 2/2",ОПТИ,+,+,,,Доп. товары,T
68,РОССИЯ,Алтайский край,Бийск,,"ул. Казанцевых, 58д, Бийск, Алтайский край, Россия, 659333",Газпромнефть,,,,,,T
69,РОССИЯ,Алтайский край,Бийск,,"Алтайский край, Бийск, Советская ул., 219/9",Лукойл,+,+,,,Доп. товары,
70,РОССИЯ,Алтайский край,Бийск,,"Алтайский край, Бийск, переулок Николая Липового, 4/1",Лукойл,+,+,+,,Доп. товары,
71,РОССИЯ,Алтайский край,Бийск,,"Алтайский край, Бийск, ул. Вячеслава Шишкова, 41А",Лукойл,+,+,,,Доп. товары,
72,РОССИЯ,Алтайский край,Бийск,,"Алтайский край, Бийск, ​Трасса Р-256, 3",Лукойл,+,+,,,Доп. товары,
73,РОССИЯ,Алтайский край,Бийск,84К-14,"Алтайский край, Солтонский тракт, километр 7-й, 4",Лукойл,+,+,+,,Доп. товары,
74,РОССИЯ,Алтайский край,Верх-Суетка,,"АЗС «Газнефтепродукт» Суетский рн, с.Верх-Суетка, Украинская улица, 29",ГАЗНЕФТЕПРОДУКТ,+,+,,,,B
75,РОССИЯ,Алтайский край,Волчиха,,"Алтайский край, Волчихинский р-н, с. Волчиха, ул. Ветеренов ВОВ, д. 75 А",Техно,+,+,,,,A
76,РОССИЯ,Алтайский край,Горно-Алтайск,,"Алтайская ул., 19, Горно-Алтайск, Респ. Алтай, Россия, 649006",Газпромнефть,+,+,+,,,T
77,РОССИЯ,Алтайский край,Заринск,,"пр. Строителей, 7, Заринск, Алтайский край, Россия, 659100",Газпромнефть,+,+,,,,T
78,РОССИЯ,Алтайский край,Заринск,,"ул. Таратынова, 18, Заринск, Алтайский край, Россия, 659100",Газпромнефть,+,+,,,,T
79,РОССИЯ,Алтайский край,ЗАТО Сибирский,Р256,"P-256, ЗАТО Сибирский, Алтайский край, Россия, 658045",ОПТИ,+,+,,,,T
80,РОССИЯ,Алтайский край,Иня,М52,"М52, (Р256), 697 км , Чуйский тракт, Алтайский край, Онгудайский р-н, с. Иня, на въезде, АЗС №17",Ника,+,+,,,,B
81,РОССИЯ,Алтайский край,Калманка,,"Алтайский край, Калманский район, с. Калманка, Коммунистическая улица, 77Б",ГАЗНЕФТЕПРОДУКТ,+,+,,,,B
82,РОССИЯ,Алтайский край,Калманка,А-349,"Алтайский край, село Калманка, Коммунистическая ул., 77а",Лукойл,+,+,,,"AdBlue, Доп. товары",
83,РОССИЯ,Алтайский край,Камень-на-Оби,,"ул. Каменская, 92, Камень-на-Оби, Алтайский край, Россия, 658707",ОПТИ,+,+,,,,T
84,РОССИЯ,Алтайский край,Камень-на-Оби,,"Барнаульский тракт, 18, Камень-на-Оби, Алтайский край, Россия, 658705",ОПТИ,+,+,+,,,T
85,РОССИЯ,Алтайский край,Камень-на-Оби,,"АЗС «Газнефтепродукт» Каменский район, г.Камень-на-Оби, ул.Д.Бедного, 39",ГАЗНЕФТЕПРОДУКТ,+,+,,,,B
86,РОССИЯ,Алтайский край,Катунское,1Р 368,"Р368, 15 км, Алтайский край, с.Катунское, логотип Сибнефти, синяя, слева от Барнаула",Ника,+,+,,,,B
87,РОССИЯ,Алтайский край,Кош-Агач,,"Ул. Новочуйская 31а, Кош-Агач, Респ. Алтай, Россия, 649780",ОПТИ,+,+,,,,T
88,РОССИЯ,Алтайский край,Красногорское,М52,"Алтайский край, с. Красногорское ул. Социалистическая 1а",Ника,+,+,,,,B
89,РОССИЯ,Алтайский край,Майма,,"Чуйский тракт, 4, Майма, Респ. Алтай, Россия, 649100",ОПТИ,+,+,,,,T
90,РОССИЯ,Алтайский край,Мамонтово,,"Алтайский край, Мамонтовский район, с. Мамонтово, ул.Трактовая, 3",Техно,+,+,,,,A
91,РОССИЯ,Алтайский край,Маралиха,,"АЗС «Газнефтепродукт» Чарышский рн, с.Маралиха",ГАЗНЕФТЕПРОДУКТ,+,+,,,,B
92,РОССИЯ,Алтайский край,Новоалтайск,,"Новосибирский тракт, 1, Новоалтайск, Алтайский край, Россия, 658084",Газпромнефть,+,+,,,,T
93,РОССИЯ,Алтайский край,Новоалтайск,,"Правобережный тракт, 15 корпус 3, Новоалтайск, Алтайский край, Россия, 658083",Газпромнефть,+,+,,,,T
94,РОССИЯ,Алтайский край,Новоалтайск,,"Барнаульское ш., 16",Газпромнефть,+,+,,,,T
95,РОССИЯ,Алтайский край,Новоалтайск,,"ул. Переездная, 16",Газпромнефть,+,+,,,,T
96,РОССИЯ,Алтайский край,Новоалтайск,,трасса Барнаул-Новосибирск,Октан,+,+,,,,A
97,РОССИЯ,Алтайский край,Новоалтайск,,"Алтайский край, Новоалтайск, Дорожная ул., 62",Лукойл,+,+,+,,"AdBlue, Доп. товары",
98,РОССИЯ,Алтайский край,Новоалтайск,Р-256,"Алтайский край, Новоалтайск, Барнаульское шоссе, 15",Лукойл,+,+,+,,"AdBlue, Доп. товары",
99,РОССИЯ,Алтайский край,Новопокровка,а/д,"Алтайский край, с.Новопокровка, разъезд Петропавловское-Б.Исток",Ника,,+,,,,B
100,РОССИЯ,Алтайский край,Павловск,,"ул. Калинина, 82",Газпромнефть,+,+,,,,T
101,РОССИЯ,Алтайский край,Павловск,,"ул. Калинина, 82, Павловск, Алтайский край, Россия, 659000",Газпромнефть,+,+,,,,T
102,РОССИЯ,Алтайский край,Павловск,,"Алтайский край, Павловский район, с. Павловск, ул. Магистральная, участок 1а",Лукойл,+,+,,,"AdBlue, Доп. товары",
103,РОССИЯ,Алтайский край,Первомайское,,"Восточная ул., 1, Первомайское (Бийский), Алтайский край, Россия, 659363",ОПТИ,+,+,,,Доп. товары,T
104,РОССИЯ,Алтайский край,Покровка,,"Р-256 Чуйский тракт, 224-й км, Первомайский район, Алтайский край, Россия",Газпромнефть,+,+,,,,T
105,РОССИЯ,Алтайский край,Поспелиха,,"Алтайский край, Поспелихинский р-он, с. Поспелиха, ул.Объездная, д. 8, АЗС №12",Техно,+,+,,,,A
106,РОССИЯ,Алтайский край,Поспелиха,,"пер. Комарова, 22, Поспелиха, Алтайский край, Россия, 659700",Газпромнефть,+,+,+,,,T
107,РОССИЯ,Алтайский край,Пригородный,,"Алтайский край, поселок Пригородный, ул. ​Тогульская, 1",Лукойл,+,+,,,Доп. товары,
108,РОССИЯ,Алтайский край,Родино,,"Алтайский край, Родинский р-он, с. Родино, ул. Советская, 94",Техно,+,+,,,,A
109,РОССИЯ,Алтайский край,Романово,,"Р-256 Чуйский тракт, 243-й километр, Косихинский район, Алтайский край, Россия, Россия, 659801",Газпромнефть,+,+,+,,,T
110,РОССИЯ,Алтайский край,Рубцовск,,"Алтайский край, г. Рубцовск, ул. Сельмашская, д. 8А",Техно,+,+,,,,A
111,РОССИЯ,Алтайский край,Рубцовск,,"Алтайский край, г. Рубцовск, ул. Арычная, 5",Техно,+,+,,,,A
112,РОССИЯ,Алтайский край,Рубцовск,,"Алтайский край, г.Рубцовск, проезд Кооперативный, 1, АЗС № 12",Техно,+,+,,,,A
113,РОССИЯ,Алтайский край,Рубцовск,,"Оросительная ул., 242А, Рубцовск, Алтайский край, Россия, 658219",ОПТИ,+,+,,,,T
114,РОССИЯ,Алтайский край,Рубцовск,,"Алтайский край, город Рубцовск, ул.Сельмашская, д.01 А",Топаз,+,+,,,,A
115,РОССИЯ,Алтайский край,Рубцовск,,"Рубцовск, ул. Рихарда Зорге,110",Топаз,+,+,,+,,A
116,РОССИЯ,Алтайский край,Рубцовск,,"Алтайский край, Рубцовск, Комсомольская ул., 160",Лукойл,+,+,,,"AdBlue, Доп. товары",
117,РОССИЯ,Алтайский край,семеновод,,"Алтайский край, посёлок Семеновод, коттеджный посёлок Солнечная поляна, ​ул. Мало-Угренёвская, 1а",Лукойл,+,+,,,Доп. товары,
118,РОССИЯ,Алтайский край,Смоленское,1Р 368,"[Р368] Бийск - Белокуриха, 35 км, Алтайский край, с.Смоленское, ул.Горная 1 ""Е""",Мегаполис,+,+,,,,A
119,РОССИЯ,Алтайский край,Смоленское,1Р 368,"[Р368] Бийск - Белокуриха, 35 км, Алтайский край, п. Смоленское, ул.Горная, д.1Г, ООО ""Мегаполис-2""",Мегаполис,+,+,,,,A
120,РОССИЯ,Алтайский край,Советское,,"Алтайский край, с.Советское, ул.Кирова д.107 А",Мегаполис,+,+,,,,A
121,РОССИЯ,Алтайский край,Сростки,,"Алтайский край, село Сростки, Чуйская ул., 1А",Лукойл,+,+,,,"AdBlue, Доп. товары",
122,РОССИЯ,Алтайский край,Староалейское,,"Дорожная ул., 51, Староалейское, Алтайский край, Россия, 658450",ОПТИ,,,,,,T
123,РОССИЯ,Алтайский край,Тальменка,,"а.д. Чуйский тракт, 152-й км",Газпромнефть,+,+,+,,,T
124,РОССИЯ,Алтайский край,Топчиха,,"Алтайский край, Топчихинский р-он, с. Топчиха, ул. Коммунальная, 5, АЗС №17",Техно,+,+,,,,A
125,РОССИЯ,Алтайский край,турочак,,"с. Турочак, ул. Телецкая, 55",Салекс,+,+,,,,
126,РОССИЯ,Алтайский край,Тюменцево,,"Алтайский край, Тюменцевский район, с.Тюменцево, ул.Октябрьская, 40",Октан,+,+,,,,A
127,РОССИЯ,Алтайский край,Угловское,,"АЗС «Газнефтепродукт» Угловский рн, с.Угловское, ул.Молодежная, 24",ГАЗНЕФТЕПРОДУКТ,+,+,,,,B
128,РОССИЯ,Алтайский край,Усть-Калманка,,"Усть-Калманский район, с.Усть-Калманка, трасса ""Усть-Калманка - Алейск"", 4-й километр",Техно,+,+,,,,A
129,РОССИЯ,Алтайский край,Усть-Калманка,,"АЗС «Газнефтепродукт» Усть-Калманский район, с.Усть-Калманка, ул.Кирова, д.74а",ГАЗНЕФТЕПРОДУКТ,+,+,,,,B
130,РОССИЯ,Алтайский край,Утянка,,"АЗС «Газнефтепродукт» Хабарский район, с.Утянка (трасса Славгород – Крутиха)",ГАЗНЕФТЕПРОДУКТ,+,+,,,,B
131,РОССИЯ,Алтайский край,Целинное,,"[Р366] , 70 км, Алтайский край, с.Целинное, ул.Транспортная, 2а, АЗС ""опти""",ОПТИ,+,+,,,,A
132,РОССИЯ,Алтайский край,Целинное,1Р 366,"Р366, Алтайский край, с. Целинное, ул. Сосновая, д.1, АЗС №16 ""НИКА"" сине-белая, слева от Барнаула",Ника,+,+,,,,B
133,РОССИЯ,Алтайский край,Чарышское,,"АЗС «Газнефтепродукт» Чарышский рн, с.Чарышское, ул.Никифорова, д.32",ГАЗНЕФТЕПРОДУКТ,+,+,,,,B
134,РОССИЯ,Алтайский край,Черемшанка,,"АЗС «Газнефтепродукт» Республика Алтай, Чуйский тракт, с.Черемшанка (463км)",ГАЗНЕФТЕПРОДУКТ,+,+,,,,B
135,РОССИЯ,Алтайский край,Чистюнька,К-13,"Алтайский край, село Чистюнька, А-322 87 километр, 1",Лукойл,+,+,,,,
136,РОССИЯ,Алтайский край,Чоя,,"2G4C+3P Чоя, Республика Алтай, Россия",ОПТИ,+,+,,,,T
137,РОССИЯ,Алтайский край,чоя,,"с. Чоя, ул. Лесная, 14",Салекс,+,+,,,,
138,РОССИЯ,Алтайский край,Чуйский,"Р256, 374км","Р-256 374 км., пос. Чуйский, Бийский район, Алтайский край",ОПТИ,+,+,,,,T
139,РОССИЯ,Алтайский край,Шебалино,1Р 375,"[Р375] , 158 км, Алтайский край, с. Шебалино ул. Трактовая 4",Ника,+,+,,,,B
140,РОССИЯ,Алтайский край,Шелаболиха,,"Р-380, Алтайский край, с. Шелаболиха",Октан,+,+,,,,A
141,РОССИЯ,Алтайский край,Шипуново,,"Южный пер., 1Б, Шипуново, Алтайский край, Россия, 658391",ОПТИ,+,+,,,,T
142,РОССИЯ,Алтайский край,Шипуново,,"A322, Шипуново, Алтайский край, Россия, 658390",ОПТИ,+,+,,,,T
143,РОССИЯ,Алтайский край,ШУБЕНКА,Р-256,"Р-256 Чуйский тракт, 334-й километр, Зональный район, Алтайский край, Россия, 659410",ОПТИ,+,+,,,,T
144,РОССИЯ,Амурская область,Аркадьевка,,"Р-297 1734 км, 1, с. Аркадьевка, Архаринский муниципальный округ, Амурская обл.",ННК,+,+,,,,R
145,РОССИЯ,Амурская область,Белогорск,,"Р-297 1536 км, с. Амурское, Белогорский муниципальный округ, Амурская обл.",ННК,+,+,,,,R
146,РОССИЯ,Амурская область,Березовка,,"Амурская обл., Ивановский муниципальный окру,с. Березовка, ул. Южная, 1 А",ННК,+,+,,,,R
147,РОССИЯ,Амурская область,Большой Невер,,"Р-297 992 км, 1, с. Невер, Сковородинский муниципальный округ, Амурская обл.",ННК,+,+,,,,R
148,РОССИЯ,Амурская область,Малиновка,,"Амурская обл., с.Малиновка, тр.Чита-Хабаровск, АЗС №53",ННК,+,+,,,,R
149,РОССИЯ,Амурская область,Николаевка,,"Р-297 1626 км., 2, с. Николаевка, Бурейский муниципальный округ, Амурская обл.",ННК,+,+,,,,R
150,РОССИЯ,Амурская область,Сиваки,,"Амурская обл., п.Сиваки, тр.Чита-Хабаровск, АЗС №58",ННК,+,+,,,,R
151,РОССИЯ,Амурская область,Талдан,,"Амурская обл., п.Талдан, тр.Чита-Хабаровск, АЗС №57",ННК,+,+,,,,R
152,РОССИЯ,Амурская область,Тында,,"Амурская обл., г. Тында, ул. Советская, 62",ННК,+,+,,,,R
153,РОССИЯ,Амурская область,Уруша,,"Амурская область, п. Уруша, тр. Чита-Хабаровск 891 км",ННК,+,+,,,,R
154,РОССИЯ,Архангельская область,,М-8,"Архангельская обл., Холмогорский р-н, 81 км а/д Архангельск-Москва",Лукойл,+,+,,,"AdBlue, Доп. товары",
155,РОССИЯ,Архангельская область,,М-8,"Архангельская обл., р-н Вельский, МО ""Усть-Вельское"", 717 км а/д Москва-Архангельск",Лукойл,+,+,,,"AdBlue, Доп. товары",
156,РОССИЯ,Архангельская область,Архангельск,,"пр. Дзержинского, 12, Архангельск, Архангельская обл., Россия, 163051",Татнефть,+,+,,,,R
157,РОССИЯ,Архангельская область,Архангельск,,"Кузнечная ул., 1, Архангельск, Архангельская обл., Россия, 163011",ОПТИ,+,+,,,,T
158,РОССИЯ,Архангельская область,Архангельск,,"Третья лин. ул. Исакогорка, 48, Архангельск, Архангельская обл., Россия, 163039",ОПТИ,+,+,,,,T
159,РОССИЯ,Архангельская область,Архангельск,,"просп. Обводный кан., 1, Архангельск, Архангельская обл., Россия, 163002",Татнефть,+,+,,,,R
160,РОССИЯ,Архангельская область,Архангельск,,"Ленинградский пр-т., 349, Архангельск, Архангельская обл., Россия, 163016",Татнефть,+,+,,,,R
161,РОССИЯ,Архангельская область,Архангельск,,"Московский пр., 37, Архангельск, Архангельская обл., Россия, 163009",Татнефть,+,+,,,,R
162,РОССИЯ,Архангельская область,Архангельск,,"ш. Окружное, 9",Татнефть,+,+,,,,R
163,РОССИЯ,Архангельская область,Архангельск,,"Архангельская область, г. Архангельск, ул. Третья линия, д. 48",Truck Point,,,,,Шиномонтаж,A
164,РОССИЯ,Архангельская область,Архангельск,,"г. Архангельск, пр-кт Московский, д. 25, стр. 5",Шинсервис,,,,+,Шиномонтаж,A
165,РОССИЯ,Архангельская область,Архангельск,,"Архангельская обл., г. Архангельск, ул. Адмирала Кузнецова",Лукойл,+,+,+,,"AdBlue, Доп. товары",
166,РОССИЯ,Архангельская область,Архангельск,,"Архангельская обл., г. Архангельск, ул. Воронина, 38",Лукойл,+,+,,,"AdBlue, Доп. товары",
167,РОССИЯ,Архангельская область,Архангельск,,"Архангельская обл., г. Архангельск, пр-т Ленинградский, 6/1, стр. 1",Лукойл,+,+,,,,
168,РОССИЯ,Архангельская область,Архангельск,,"Архангельская обл., г. Архангельск, ул. Советская, 91",Лукойл,+,+,,,,
169,РОССИЯ,Архангельская область,Архангельск,М-8,"Архангельская обл., г. Архангельск, ш. Окружное, 15, стр. 2",Лукойл,+,+,+,,"AdBlue, Доп. товары",
170,РОССИЯ,Архангельская область,Архангельск,,"Архангельская обл., г. Архангельск, пр-т Обводного Канала, 9/1, стр. 3",Лукойл,+,+,,,"AdBlue, Доп. товары",
171,РОССИЯ,Архангельская область,Архангельск,,"Архангельская обл., г. Архангельск, ул. Кировская, 1, стр. 5",Лукойл,+,+,,,,
172,РОССИЯ,Архангельская область,Архангельск,,"Архангельская обл., г. Архангельск, ш. Талажское, 2",Лукойл,+,+,,,Доп. товары,
173,РОССИЯ,Архангельская область,Березник,М-8,"Архангельская обл., Виноградовский р-н, пгт Березник, м-в Быстрое, 938 км а/д Москва-Архангельск",Лукойл,+,+,,,"AdBlue, Доп. товары",
174,РОССИЯ,Архангельская область,Большая Корзиха,М-8,"Архангельская обл., Приморский р-н, д. Большая Корзиха",Лукойл,+,+,,,"AdBlue, Доп. товары",
175,РОССИЯ,Архангельская область,Большая Корзиха,М-8,"Архангельская обл., Приморский р-н, д. Большая Корзиха",Лукойл,+,+,+,,"AdBlue, Доп. товары",
176,РОССИЯ,Архангельская область,Емецк,М-8,"Архангельская обл., Холмогорский р-н, с. Емецк",Лукойл,+,+,,,"AdBlue, Доп. товары",
177,РОССИЯ,Архангельская область,Каргополь,,"Архангельская обл., г. Каргополь, ул. Ошевенская, 7а",АГЗС,,,+,,,A
178,РОССИЯ,Архангельская область,Коряжма,,"Архангельская обл., г. Коряжма, ул. Складская, 13",Лукойл,+,+,,,"AdBlue, Доп. товары",
179,РОССИЯ,Архангельская область,Котлас,11Р-005,"Архангельская обл., г.Котлас, Чиркова, 40",Лукойл,+,+,,,"AdBlue, Доп. товары",
180,РОССИЯ,Архангельская область,Мирный,,"Архангельская обл., г.Мирный, ул. Циргвава",Лукойл,+,+,,,"AdBlue, Доп. товары",
181,РОССИЯ,Архангельская область,нарьян-мар,,"Ненецкий а.о., г. Нарьян-Мар, пгт. Искателей, ул. Юбилейная",Лукойл,+,+,,,"AdBlue, Доп. товары",
182,РОССИЯ,Архангельская область,нарьян-мар,,"Ненецкий а.о., г. Нарьян-Мар, ул. Полярная, 22",Лукойл,+,+,,,Доп. товары,
